id,name,lat,lon,off_or_on_street,capacity
440171,Geary Blvd (1801-1837),undefined,undefined,ON,2
440172,Geary Blvd (1750-1798),undefined,undefined,ON,8
440181,Geary Blvd (1839-1899),undefined,undefined,ON,5
440182,Geary Blvd (1800-1898),undefined,undefined,ON,7
442061,Golden Gate Ave (601-699),undefined,undefined,ON,6
442062,Golden Gate Ave (600-698),undefined,undefined,ON,5
442071,Golden Gate Ave (701-799),undefined,undefined,ON,5
442072,Golden Gate Ave (700-798),undefined,undefined,ON,15
443021,Gough St (201-299),undefined,undefined,ON,5
443022,Gough St (200-298),undefined,undefined,ON,8
443032,Gough St (300-398),undefined,undefined,ON,7
443041,Gough St (401-499),undefined,undefined,ON,10
443042,Gough St (400-498),undefined,undefined,ON,6
443052,Gough St (500-598),undefined,undefined,ON,8
446001,Grove St (1-55),undefined,undefined,ON,8
446002,Grove St (2-50),undefined,undefined,ON,5
446003,Grove St (57-99),undefined,undefined,ON,14
446004,Grove St (52-98),undefined,undefined,ON,19
446011,Grove St (101-199),undefined,undefined,ON,4
446021,Grove St (201-299),undefined,undefined,ON,8
446022,Grove St (200-298),undefined,undefined,ON,8
446031,Grove St (301-399),undefined,undefined,ON,17
446032,Grove St (300-398),undefined,undefined,ON,9
447211,Greenwich St (2101-2199),undefined,undefined,ON,2
447212,Greenwich St (2100-2198),undefined,undefined,ON,6
447221,Greenwich St (2201-2299),undefined,undefined,ON,2
460021,Halleck St (101-149),undefined,undefined,ON,2
463002,Hawthorne St (2-98),undefined,undefined,ON,3
463011,Hawthorne St (101-199),undefined,undefined,ON,18
463012,Hawthorne St (100-198),undefined,undefined,ON,3
464001,Hayes St (51-99),undefined,undefined,ON,5
464011,Hayes St (101-199),undefined,undefined,ON,5
464031,Hayes St (301-399),undefined,undefined,ON,13
464032,Hayes St (300-398),undefined,undefined,ON,13
464041,Hayes St (401-499),undefined,undefined,ON,9
464042,Hayes St (400-498),undefined,undefined,ON,5
464051,Hayes St (501-599),undefined,undefined,ON,13
464052,Hayes St (500-598),undefined,undefined,ON,12
467001,Hickory St (1-99),undefined,undefined,ON,5
467011,Hickory St (101-199),undefined,undefined,ON,10
470001,Howard St (51-99),undefined,undefined,ON,9
470002,Howard St (50-98),undefined,undefined,ON,7
470012,Howard St (100-198),undefined,undefined,ON,5
471001,Harrison St (1-99),undefined,undefined,ON,6
471002,Harrison St (2-98),undefined,undefined,ON,8
471012,Harrison St (100-198),undefined,undefined,ON,11
471051,Harrison St (501-549),undefined,undefined,ON,5
471052,Harrison St (500-598),undefined,undefined,ON,14
471061,Harrison St (601-699),undefined,undefined,ON,22
471062,Harrison St (600-646),undefined,undefined,ON,9
471064,Harrison St (648-698),undefined,undefined,ON,13
472281,Hyde St (2801-2899),undefined,undefined,ON,1
500001,Jackson St (1-99),undefined,undefined,ON,4
500002,Jackson St (2-98),undefined,undefined,ON,5
500011,Jackson St (101-199),undefined,undefined,ON,9
500012,Jackson St (100-198),undefined,undefined,ON,8
500021,Jackson St (201-299),undefined,undefined,ON,4
500022,Jackson St (200-298),undefined,undefined,ON,2
500032,Jackson St (300-398),undefined,undefined,ON,1
500041,Jackson St (401-499),undefined,undefined,ON,1
500231,Jackson St (2301-2399),undefined,undefined,ON,4
500232,Jackson St (2300-2398),undefined,undefined,ON,2
501011,Jessie St (101-131),undefined,undefined,ON,3
501012,Jessie St (100-134),undefined,undefined,ON,1
502262,Jones St (2600-2698),undefined,undefined,ON,5
502271,Jones St (2701-2799),undefined,undefined,ON,8
502282,Jones St (2800-2898),undefined,undefined,ON,8
520001,Kearny St (13-99),undefined,undefined,ON,9
520011,Kearny St (101-199),undefined,undefined,ON,10
520021,Kearny St (201-299),undefined,undefined,ON,12
520031,Kearny St (301-399),undefined,undefined,ON,10
524012,King St (100-198),undefined,undefined,ON,1
524022,King St (200-298),undefined,undefined,ON,1
540151,Laguna St (1501-1599),undefined,undefined,ON,6
540152,Laguna St (1500-1598),undefined,undefined,ON,3
540161,Laguna St (1601-1699),undefined,undefined,ON,8
542001,Larkin St (7-99),undefined,undefined,ON,7
542002,Larkin St (10-98),undefined,undefined,ON,1
542301,Larkin St (3001-3099),undefined,undefined,ON,7
542302,Larkin St (3000-3098),undefined,undefined,ON,5
546272,Leavenworth St (2700-2798),undefined,undefined,ON,2
546273,Leavenworth St (2701-2715),undefined,undefined,ON,2
546281,Leavenworth St (2801-2849),undefined,undefined,ON,4
546282,Leavenworth St (2800-2848),undefined,undefined,ON,2
547002,Lech Walesa St (2-98),undefined,undefined,ON,1
549201,Lombard St (2001-2099),undefined,undefined,ON,null
549212,Lombard St (2100-2198),undefined,undefined,ON,6
549222,Lombard St (2200-2298),undefined,undefined,ON,3
549232,Lombard St (2300-2398),undefined,undefined,ON,8
549241,Lombard St (2401-2499),undefined,undefined,ON,1
549242,Lombard St (2400-2498),undefined,undefined,ON,10
560002,Mallorca Way (2-70),undefined,undefined,ON,2
561002,Main St (2-98),undefined,undefined,ON,9
561031,Main St (301-399),undefined,undefined,ON,7
561032,Main St (300-398),undefined,undefined,ON,8
563031,Mcallister St (301-399),undefined,undefined,ON,12
563032,Mcallister St (300-398),undefined,undefined,ON,6
563042,Mcallister St (400-498),undefined,undefined,ON,7
563051,Mcallister St (501-599),undefined,undefined,ON,6
563052,Mcallister St (500-598),undefined,undefined,ON,11
566042,Merchant St (400-498),undefined,undefined,ON,2
568001,Mission St (1-33),undefined,undefined,ON,1
568002,Mission St (2-34),undefined,undefined,ON,2
568003,Mission St (35-99),undefined,undefined,ON,6
568004,Mission St (36-98),undefined,undefined,ON,8
568011,Mission St (101-199),undefined,undefined,ON,13
568063,Mission St (636-698),undefined,undefined,ON,3
568064,Mission St (636-698),undefined,undefined,ON,3
568202,Mission St (2000-2098),undefined,undefined,ON,6
568252,Mission St (2500-2598),undefined,undefined,ON,1
568271,Mission St (2701-2799),undefined,undefined,ON,4
568272,Mission St (2700-2798),undefined,undefined,ON,1
569002,Market St (2-198),undefined,undefined,ON,1
570012,Minna St (100-134),undefined,undefined,ON,5
570014,Minna St (136-198),undefined,undefined,ON,2
571001,Montgomery St (1-99),undefined,undefined,ON,12
571011,Montgomery St (101-199),undefined,undefined,ON,8
571021,Montgomery St (201-299),undefined,undefined,ON,11
571031,Montgomery St (301-399),undefined,undefined,ON,11
571041,Montgomery St (401-499),undefined,undefined,ON,8
571051,Montgomery St (501-599),undefined,undefined,ON,8
580011,Natoma St (101-132),undefined,undefined,ON,3
580013,Natoma St (134-198),undefined,undefined,ON,8
582011,New Montgomery St (101-199),undefined,undefined,ON,12
582012,New Montgomery St (100-198),undefined,undefined,ON,9
585012,North Point St (100-198),undefined,undefined,ON,11
585022,North Point St (200-298),undefined,undefined,ON,17
585031,North Point St (301-399),undefined,undefined,ON,3
585032,North Point St (300-398),undefined,undefined,ON,4
585041,North Point St (401-499),undefined,undefined,ON,8
585042,North Point St (400-498),undefined,undefined,ON,3
585051,North Point St (501-599),undefined,undefined,ON,4
585052,North Point St (500-598),undefined,undefined,ON,9
585061,North Point St (601-679),undefined,undefined,ON,4
585092,North Point St (900-998),undefined,undefined,ON,12
590001,Oak St (1-99),undefined,undefined,ON,7
590002,Oak St (2-98),undefined,undefined,ON,17
590011,Oak St (101-199),undefined,undefined,ON,7
590012,Oak St (100-198),undefined,undefined,ON,13
606001,Pine St (1-99),undefined,undefined,ON,9
606002,Pine St (2-98),undefined,undefined,ON,8
606011,Pine St (101-199),undefined,undefined,ON,12
606012,Pine St (100-198),undefined,undefined,ON,8
606031,Pine St (301-399),undefined,undefined,ON,14
